Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
BTC,2019-11-30,7542.2356086361,7748.3354868447,7805.0293223847,7439.0988671462
BTC,2019-12-01,7403.4282626809,7542.2453443015,7564.9400791923,7238.3222325106
BTC,2019-12-02,7315.4404294538,7403.4267308689,7428.9585086921,7162.4921248334
BTC,2019-12-03,7301.7549569981,7315.4392033661,7407.4107747383,7238.7305917929
BTC,2019-12-04,7186.709879158,7301.7553610053,7767.9087248467,7089.1412888854
BTC,2019-12-05,7392.9116387127,7186.7070188604,7488.1377716159,7155.1199462029
BTC,2019-12-06,7511.8805831153,7392.9109372956,7583.3874556567,7304.0704409213
BTC,2019-12-07,7499.644740245,7511.8846051368,7619.6660178313,7475.0155939926
BTC,2019-12-08,7521.1533515135,7500.6655055785,7573.1560176261,7387.1540158748
BTC,2019-12-09,7336.5788048348,7521.1533774466,7652.7426061678,7285.2277677358
BTC,2019-12-10,7223.9415628435,7334.8764096609,7394.5046757608,7161.5272908812
BTC,2019-12-11,7203.8616718465,7223.9555991549,7269.4743912492,7131.6440544468
BTC,2019-12-12,7190.2723692612,7203.9566063196,7282.3361427744,7081.8802205187
BTC,2019-12-13,7249.4275795142,7190.2729159956,7297.5888943435,7182.1356701587
BTC,2019-12-14,7061.6001470492,7249.4262619046,7271.5711842833,7007.4269228552
BTC,2019-12-15,7113.6015972721,7061.5999884959,7198.3238397492,7007.5588139996
BTC,2019-12-16,6883.4963937703,7113.6025599571,7139.5802433663,6828.4794483346
BTC,2019-12-17,6584.0288433458,6884.6615535556,6933.7411793769,6565.0096445899
BTC,2019-12-18,7285.1175397223,6584.0304242163,7426.3287689629,6427.9593864456
BTC,2019-12-19,7147.5683237876,7285.1220444953,7367.1588561057,7043.1622494564
BTC,2019-12-20,7155.2120216893,7147.5690010018,7177.3921510618,7076.1110403604
BTC,2019-12-21,7286.3350811573,7155.2131745547,7328.9308126043,7122.024233486
BTC,2019-12-22,7236.9862046092,7286.3363101526,7356.6405191403,7083.7347260972
BTC,2019-12-23,7182.6306967845,7236.9860862933,7498.7973044554,7127.9362547168
BTC,2019-12-24,7258.575231552,7182.6319530099,7292.0067358272,7045.1229145654
BTC,2019-12-25,7193.4992736434,7258.5558684054,7277.8041110461,7120.2139500788
BTC,2019-12-26,7183.7065360296,7193.4991984056,7427.4722801559,7105.7238635861
BTC,2019-12-27,7241.9303924824,7183.7060825993,7251.38124578,7065.2783084265
BTC,2019-12-28,7300.832083317,7243.7942765159,7348.7897943166,7229.7987119151
BTC,2019-12-29,7382.8218648123,7300.8316909168,7520.6370340888,7272.5937907838
BTC,2019-12-30,7251.2767943228,7379.1578812114,7396.6033217963,7202.130765888
BTC,2019-12-31,7153.3936377304,7251.2778875377,7298.8920416221,7119.6269458661
